Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://www.history.ucsb.edu/wp-content/uploads/LagoonFall20141.jpg
Disneyland,The happiest place on Earth!,33.812092,-117.918976,https://disneyland.disney.go.com/,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F2%2F2d%2FSleeping_Beauty_Castle_2019.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FDisneyland&tbnid=QympDkL4-JtRRM&vet=12ahUKEwi5wtfYpvrwAhWLrJ4KHbiAD5gQMygBegUIARDWAQ..i&docid=P7FBth4utFvVcM&w=4032&h=3024&q=disneyland&ved=2ahUKEwi5wtfYpvrwAhWLrJ4KHbiAD5gQMygBegUIARDWAQ
Yosemite National Park,"Giant, ancient, sequoia trees, great views, and tranquil rivers and streams.",37.865101,-119.53833,https://www.nps.gov/yose/index.htm,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.natgeofe.com%2Fn%2Ff14f6c30-8d11-4e33-a5e9-05f1b50bdde3%2Fyosemite-national-park-california.jpg&imgrefurl=https%3A%2F%2Fwww.nationalgeographic.com%2Ftravel%2Fnational-parks%2Farticle%2Fyosemite-national-park&tbnid=EftOsWXlFcAubM&vet=12ahUKEwiQ4rnspvrwAhWBqZ4KHbUcB44QMygAegUIARDWAQ..i&docid=HSJTkgTjeiExcM&w=3072&h=2057&q=yosemite%20national%20park&ved=2ahUKEwiQ4rnspvrwAhWBqZ4KHbUcB44QMygAegUIARDWAQ
Six Flags Magic Mountain,"Great place for entertainment, featuring 100 rides and roller coasters, shows, & attractions.",34.42398,-118.57965,https://traveltips.usatoday.com/six-flags-theme-park-background-information-59341.html,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.dailynews.com%2Fwp-content%2Fuploads%2F2021%2F03%2FLDN-L-MAGIC-MOUNTAIN-0318-FEATURED-1.jpg%3Fw%3D620&imgrefurl=https%3A%2F%2Fwww.dailynews.com%2F2021%2F03%2F18%2Fsix-flags-magic-mountain-will-be-first-southern-california-amusement-park-to-reopen-on-april-1&tbnid=kL2t3Vy-dtQWCM&vet=12ahUKEwiOoczxpvrwAhVNlJ4KHQIfDXAQMygAegUIARDIAQ..i&docid=b2OadYDM2iKu-M&w=620&h=349&q=six%20falgs%20magic%20mountain&ved=2ahUKEwiOoczxpvrwAhVNlJ4KHQIfDXAQMygAegUIARDIAQ
Niagara Falls,"Breathtaking views of three waterfalls, which straddle the Canadian border. ",43.0962,79.0377,https://www.niagarafallsusa.com/planning-tools/about-niagara-falls/fun-facts/,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F5%2F5e%2FNiagara_Falls_and_Niagara_River.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FNiagara_Falls%2C_Ontario&tbnid=VMevDOO3pBG9bM&vet=12ahUKEwjU96n2pvrwAhWHkZ4KHd0pAzAQMygBegUIARDSAQ..i&docid=FWrqkxDAFgX4PM&w=3913&h=2602&q=niagara%20falls&ved=2ahUKEwjU96n2pvrwAhWHkZ4KHd0pAzAQMygBegUIARDSAQ
Mount Rushmore,"A beautiful national park that shows face sculpture's of Abe Lincoln, Roosevelt, Jefferson, and Washington carved into rock.",43.8791,103.4591,https://www.nps.gov/moru/index.htm,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F87%2FMount_Rushmore_detail_view_%2528100MP%2529.jpg%2F1200px-Mount_Rushmore_detail_view_%2528100MP%2529.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMount_Rushmore&tbnid=gkjbpKrsVXuneM&vet=12ahUKEwj84cD7pvrwAhUVg54KHSO8CXwQMygAegUIARDOAQ..i&docid=GyZz3XUhonC-qM&w=1200&h=816&q=mount%20rushmore&ved=2ahUKEwj84cD7pvrwAhUVg54KHSO8CXwQMygAegUIARDOAQ
